Symbol,Code,Name
^IXIC,^IXIC,^IXIC - NASDAQ Composite
^DJI,^DJI,^DJI - Dow Jones Industrial Average
^GSPC,^GSPC,^GSPC - S&P 500
^RUT,^RUT,^RUT - Russell 2000
NQ=F,NQ=F,NQ=F - Nasdaq 100 Mar 25
^TNX,^TNX,^TNX - CBOE Interest Rate 10 Year T No
BTC-USD,BTC-USD,BTC-USD - Bitcoin USD
000001.SS,上证综合指数,000001.SS - 上证综合指数
399001.SZ,深证成指,399001.SZ - 深证成指
^HSI,^HSI,^HSI - HANG SENG INDEX
CAD=X,CAD=X,CAD=X - USD/CAD
CNY=X,CNY=X,CNY=X - USD/CNY
